worker;assignment;img;sentiment;in_out_door;age;gs;eco;edu;opt1;neg1;opt2;comments;reasons
group9;group9_form8;15Ef8OULWLb3tWgLYwfIGmqVRSI_-YxHy;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;12hkDdykJDxOqYFTm7GfETe7MXHf5BTFa;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;1zOWYD7pM4OVTBnrJRI_hiDNkabTBF6DB;0;2;1;1;2;2;2;5;4;Accident;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
group9;group9_form8;1Vj4Jby_jVUwUjkP0aj_28YX5CE4AfXaI;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;1OB68sjAsccfT92yK7zwbsSKMbJ017xqX;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group9;group9_form8;1p6jTOImdTHP8S6OtaiSY38tla3B-m9dH;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;1oUgHvESxCf6ePsXKQO136BBKvhOXmRe8;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;1gO-OD1a7ZO3u25vZtWFWLWDJquo2Sixh;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group9;group9_form8;1ElLZwSILmCexeFYtb9Ldtl7qQcxx2_9A;0;1;1;1;2;2;2;5;4;Accident;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
group9;group9_form8;1E_vs-u-CXkk5MhvneSA0Hl85t_Ez9uSc;1;2;1;1;2;2;2;5;4;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
