worker;assignment;img;sentiment;in_out_door;age;gs;eco;edu;opt1;neg1;opt2;comments;reasons
group9;group9_form8;15Ef8OULWLb3tWgLYwfIGmqVRSI_-YxHy;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Lack of colors
group9;group9_form8;12hkDdykJDxOqYFTm7GfETe7MXHf5BTFa;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Everyday image
group9;group9_form8;1zOWYD7pM4OVTBnrJRI_hiDNkabTBF6DB;Negative;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;Accident;Debris/Destruction,Violence
group9;group9_form8;1Vj4Jby_jVUwUjkP0aj_28YX5CE4AfXaI;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Everyday image
group9;group9_form8;1OB68sjAsccfT92yK7zwbsSKMbJ017xqX;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Pleasant environment,Sky,Nature
group9;group9_form8;1p6jTOImdTHP8S6OtaiSY38tla3B-m9dH;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Everyday image
group9;group9_form8;1oUgHvESxCf6ePsXKQO136BBKvhOXmRe8;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Pleasant environment,Nature
group9;group9_form8;1gO-OD1a7ZO3u25vZtWFWLWDJquo2Sixh;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Colors,Nature
group9;group9_form8;1ElLZwSILmCexeFYtb9Ldtl7qQcxx2_9A;Negative;Indoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;Accident;Debris/Destruction,Trash
group9;group9_form8;1E_vs-u-CXkk5MhvneSA0Hl85t_Ez9uSc;Other;Outdoor;19_25;female;middle;bac_edu;pa_opt1;td_neg1;pd_opt2;;Pleasant environment,Sky,Nature
group1;group1_form22;1wMxVk4m8ugTbjc6vAzzk42XU9fvxYrex;Negative;Outdoor;19_25;male;low;bac_edu;nt_opt1;nt_neg1;pa_opt2;;Confusion,Unpleasant colors,Pollution
group1;group1_form22;1plpa-6A0igoXKg2y50yckJ30YBNviKCr;Other;Indoor;19_25;male;low;bac_edu;nt_opt1;nt_neg1;pa_opt2;;Pleasant environment,Sky
group1;group1_form22;1BzTnY48b_S_lInVrJEMJmPSVrPOJUECB;Other;Indoor;19_25;male;low;bac_edu;nt_opt1;nt_neg1;pa_opt2;;Pleasant environment,Colors
